materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Chimica,Struttura atomica,"Quale specie contiene 17 protoni, 18 elettroni e numero di massa 35?",Un atomo neutro di argon,Un anione cloruro,Un catione potassio,Un isotopo del sodio,Una molecola di cloro,B,"17 protoni identificano il cloro; con 18 elettroni la specie ha carica -1, quindi è Cl-.",2
Chimica,Tavola periodica,"Lungo un periodo della tavola periodica, da sinistra a destra, il raggio atomico tende generalmente a:",aumentare per l'aumento del numero di livelli,diminuire per l'aumento della carica nucleare efficace,rimanere costante,variare solo nei gas nobili,annullarsi nei non metalli,B,"A parità di livello principale, una maggiore carica nucleare efficace richiama più intensamente gli elettroni verso il nucleo.",3
Chimica,Legami chimici,"Quale molecola presenta legami covalenti polari ma risulta complessivamente apolare?",HCl,H2O,NH3,CO2,SO2,D,"In CO2 i due legami C=O sono polari ma la molecola lineare annulla i momenti dipolari.",3
Chimica,Stechiometria,"Quante moli di NaCl si ottengono facendo reagire completamente 2 moli di HCl con eccesso di NaOH?","0,5",1,2,3,4,C,"La reazione HCl + NaOH -> NaCl + H2O ha rapporto stechiometrico 1:1, quindi 2 moli di HCl danno 2 moli di NaCl.",2
Chimica,Acidi e basi,"Una soluzione acquosa con pH = 11 è:",acida,neutra,basica,sempre tampone,sempre concentrata,C,"Un pH maggiore di 7 indica una soluzione basica.",1
Chimica,Equilibrio chimico,"Per una reazione esotermica all'equilibrio, un aumento della temperatura tende a:",spostare l'equilibrio verso i prodotti,spostare l'equilibrio verso i reagenti,non modificare l'equilibrio,aumentare sempre K,annullare la reazione,B,"Aumentando la temperatura si favorisce il verso endotermico, quindi in una reazione esotermica l'equilibrio si sposta verso i reagenti.",3
Chimica,Redox,"Nella reazione Zn + Cu2+ -> Zn2+ + Cu, quale specie si riduce?",Zn,Zn2+,Cu2+,Cu,Nessuna,C,"Cu2+ acquista elettroni e si trasforma in rame metallico; quindi si riduce.",2
Chimica,Gas,"A temperatura costante, se il volume di una certa quantità di gas ideale dimezza, la pressione:",si dimezza,raddoppia,resta costante,diventa nulla,quadruplica,B,"Per la legge di Boyle, a temperatura costante pressione e volume sono inversamente proporzionali.",2
Chimica,Soluzioni,"Quale concentrazione corrisponde a una soluzione ottenuta sciogliendo 0,5 mol di soluto fino a volume finale di 250 mL?","0,5 M","1,0 M","2,0 M","4,0 M","0,25 M",C,"La molarità è 0,5 mol / 0,250 L = 2,0 M.",2
Chimica,Chimica organica,"Quale composto appartiene alla classe dei chetoni?",CH3COOH,CH3CHO,CH3COCH3,CH3CH2OH,CH3CONH2,C,"CH3COCH3 è il propanone, un chetone con gruppo carbonilico interno alla catena.",2
Chimica,Elettrochimica,"In una pila galvanica gli elettroni fluiscono nel circuito esterno:",dal catodo all'anodo,dall'anodo al catodo,dal ponte salino al catodo,dal catodo al ponte salino,in entrambe le direzioni casualmente,B,"L'anodo è sede di ossidazione e cede elettroni che fluiscono verso il catodo dove avviene la riduzione.",3
Chimica,Solubilità,"L'aggiunta di uno ione in comune a un sale poco solubile tende generalmente a:",aumentarne la solubilità,diminuirne la solubilità,lasciare invariato il prodotto di concentrazione ma aumentare il pH,trasformarlo in gas,impedire ogni equilibrio,B,"Per l'effetto dello ione comune l'equilibrio di dissoluzione si sposta verso il solido, riducendo la solubilità.",3
Chimica,Chimica organica,"La formula generale degli alcheni aciclici con un doppio legame è:",CnH2n+2,CnH2n,CnH2n-2,CnHn,CnH2nO,B,"Gli alcheni aciclici con un solo doppio legame hanno formula generale CnH2n.",2
Chimica,Termochimica,"Una variazione di entalpia negativa indica che la reazione è:",endotermica,esotermica,isocora,sempre spontanea,sempre reversibile,B,"ΔH negativo indica liberazione di calore dal sistema verso l'ambiente.",2
Chimica,Struttura atomica,"Quale insieme di numeri quantici è ammissibile per un elettrone in un orbitale p?","n=2, l=1, m=0, s=+1/2","n=2, l=2, m=1, s=+1/2","n=1, l=1, m=0, s=-1/2","n=3, l=0, m=1, s=+1/2","n=2, l=1, m=2, s=-1/2",A,"Per un orbitale p vale l = 1; quindi m può essere -1, 0, +1 e n deve essere almeno 2.",4
